id,name,birthYear
nm9423237,Pier Angeli,1932
nm9423238,The Hells Angels,
nm9423239,Maya Angelou,1929
nm9423240,Muriel Angelus,1909
nm9423241,Ivy Angustain,
nm9423242,Evelyn Ankers,1918
nm9423243,Morris Ankrum,1896
nm9423244,Francesca Annis,1944
nm9423245,AnnMargret,1941
nm9423246,Michael Ansara,1922
nm9423247,Karen Anspach,
nm9423248,Susan Anspach,1939
nm9423249,Adam Ant,
nm9423250,Lysette Anthony,
nm9423251,Michael Anthony,
nm9423252,Susan Anton,
nm9423253,Laura Antonelli,
nm9423254,Lou Antonio,
nm9423255,Scott Antony,1950
nm9423256,Aquanetta,1920
nm9423257,Alfonso Arau,
nm9423258,Roscoe Arbuckle,1887
nm9423259,Allan Arbus,
nm9423260,Anne Archer,
nm9423261,Fanny Ardant,1949
nm9423262,Eve Arden,1912
nm9423263,Carmen Argenziano,
nm9423264,Adam Arkin,
nm9423265,Alan Arkin,1934
nm9423266,David Arkin,
nm9423267,Richard Arlen,1898
nm9423268,Arletty,1898
nm9423269,George Arliss,1868
nm9423270,Pedro Armendariz,1912
nm9423271,Henry Armetta,1888
nm9423272,Bess Armstrong,
nm9423273,Curtis Armstrong,
nm9423274,Louis Armstrong,1900
nm9423275,R.G. Armstrong,1920
nm9423276,Robert Armstrong,1890
nm9423277,Todd Armstrong,1939
nm9423278,Yvonne Arnaud,1892
nm9423279,Lucie Arnaz,1951
nm9423280,Desi Arnaz,1915
nm9423281,Desi Arnaz~jr.,1953
nm9423282,Peter Arne,1920
nm9423283,James Arness,1923
nm9423284,Jeanetta Arnette,
nm9423285,Edward Arnold,1890
nm9423286,Mark Arnott,
nm9423287,Charles Arnt,1908
nm9423288,Rosanna Arquette,
nm9423289,Antonin Artaud,1895
nm9423290,Beatrice Arthur,1923
nm9423291,George K. Arthur,1899
nm9423292,Jean Arthur,1905
nm9423293,Linda Arvidson,1884
nm9423294,Leslie Ash,
nm9423295,Peggy Ashcroft,1907
nm9423296,Jane Asher,1946
nm9423297,Ren\`ee Asherson,1920
nm9423298,Edward Ashley,1904
nm9423299,Elizabeth Ashley,1939
nm9423300,Jennifer Ashley,
nm9423301,John Ashley,
nm9423302,Gregoire Asian,
nm9423303,Luke Askew,
nm9423304,Arthur Askey,1900
nm9423305,Ed Asner,1929
nm9423306,Chuck Aspegren,
nm9423307,Armand Assante,
nm9423308,Asta,
nm9423309,Adele Astaire,
nm9423310,Fred Astaire,1899
nm9423311,Nils Asther,1897
nm9423312,John Astin,1930
nm9423313,Patty Duke Astin,1946
nm9423314,Gertrude Astor,1887
nm9423315,Mary Astor,1906
nm9423316,William Atherton,1947
nm9423317,Christopher Atkins,1961
nm9423318,Eileen Atkins,1934
nm9423319,Kiyoshi Atsumi,1928
nm9423320,Richard Attenborough,1923
nm9423321,Malcolm Atterbury,1907
nm9423322,Edith Atwater,1911
nm9423323,Lionel Atwill,1885
nm9423324,Kim Atwood,
nm9423325,Brigitte Auber,
nm9423326,Rene Auberjonois,1940
nm9423327,Lenore Aubert,1913
nm9423328,Cecile Aubry,1929
nm9423329,Joss Auckland,
nm9423330,Michael Auclair,1922
nm9423331,Maxine Audley,1923
nm9423332,Stephane Audran,1932
nm9423333,Audrey,
nm9423334,Mischa Auer,1905
nm9423335,Claudine Auger,1942
nm9423336,Marie Ault,1870
nm9423337,JeanPierre Aumont,1909
nm9423338,John Austin,
nm9423339,Daniel Auteuil,
nm9423340,Gene Autry,1907
nm9423341,Frankie Avalon,1939
nm9423342,Luis Avalos,
nm9423343,Doe Avedon,1928
nm9423344,Brian Avery,
nm9423345,Margaret Avery,
nm9423346,Nina Axelrod,
nm9423347,Hoyt Axton,
nm9423348,George Ayer,
nm9423349,Dan Aykroyd,
nm9423350,Felix Aylmer,1889
nm9423351,Agnes Ayres,1896
nm9423352,Gregg Ayres,
nm9423353,Lew Ayres,1908
nm9423354,Robert Ayres,1914
nm9423355,Randle Ayrton,1869
nm9423356,Shabana Azmi,
nm9423357,Charles Aznavour,1924
nm9423358,Candy Azzara,
nm9423359,Hank Azaria,1964
nm9423360,Lauren Bacall,1924
nm9423361,Barbara Bach,1951
nm9423362,Pamela Bach,1962
nm9423363,Amitabh Bachchan,1942
nm9423364,Jim Backus,1913
nm9423365,Kevin Bacon,
nm9423366,Hermione Baddeley,
nm9423367,Alan Badel,1923
nm9423368,Buddy Baer,1915
nm9423369,Harry Baer,
nm9423370,Max Baer,1909
nm9423371,Pearl Bailey,1918
nm9423372,Barbara Bain,1932
nm9423373,Fay Bainter,1892
nm9423374,Scott Baio,1961
nm9423375,Blanche Baker,
nm9423376,Carrol Baker,1931
nm9423377,Diane Baker,1936
nm9423378,Hylda Baker,1909
nm9423379,Joe Don Baker,1943
nm9423380,Josephine Baker,1906
nm9423381,Kathy Baker,
nm9423382,Kenny Baker,1912
nm9423383,Ruby Baker,
nm9423384,Stanley Baker,1927
nm9423385,Tom Baker,1935
nm9423386,Bob Balaban,1965
nm9423387,Jill Balcon,1925
nm9423388,Rebecca Balding,
nm9423389,Adam Baldwin,
nm9423390,Alec Baldwin,195x
nm9423391,Daniel Baldwin,
nm9423392,Stephen Baldwin,1963+
nm9423393,William Baldwin,1963
nm9423394,Betty Balfour,1903
nm9423395,Mireille Balin,1909
nm9423396,Florinda Balkan,
nm9423397,Lucille Ball,1910
nm9423398,Vincent Ball,*
nm9423399,Kay Ballard,1926
nm9423400,Martin Balsam,1919
nm9423401,Anne Bancroft,1931
nm9423402,George Bancroft,1882
nm9423403,Antonio Banderas,1960
nm9423404,Victor Banerjee,
nm9423405,Donatas Banionis,
nm9423406,Alex Bank,
nm9423407,Tallulah Bankhead,1902
nm9423408,Aaron Banks,
nm9423409,Leslie Banks,1890
nm9423410,Vilma Banky,1902
nm9423411,Ian Bannen,1928
nm9423412,John Banner,1910
nm9423413,Theda Bara,1890
nm9423414,Olga Baraclanova,
nm9423415,Christine Baranski,
nm9423416,Vanna Barba,1967
nm9423417,Adrienne Barbeau,1949
nm9423418,George Barbier,1865
nm9423419,Joyce Barbour,
nm9423420,Brigitte Bardot,1933
nm9423421,Mijanou Bardot,
nm9423422,Sonny Barger,
nm9423423,Lynn Bari,1915
nm9423424,Norah Baring,1907
nm9423425,Erik Barker,1912
nm9423426,Ronnie Barker,1929
nm9423427,Lex Barker,
nm9423428,Ellen Barkin,1954
nm9423429,Marcie Barkin,
nm9423430,Mikhail Barishnikov,
nm9423431,Binnie Barnes,1905
nm9423432,Jake Barnes,
nm9423433,Joanna Barnes,1934
nm9423434,Julian Barnes,
nm9423435,Priscilla Barnes,
nm9423436,Charlie Barnett,
nm9423437,Nella Barnier,
nm9423438,Sandy Baron,
nm9423439,Pierre Barouh,
nm9423440,Maria Barranco,
nm9423441,JeanLouis Barrault,1910
nm9423442,MarieChristine Barrault,1944
nm9423443,Edith Barrett,1907
nm9423444,Judith Barrett,1914
nm9423445,Barbara Barrie,
nm9423446,Mona Barrie,1909
nm9423447,Wendy Barrie,1912
nm9423448,Edgar Barrier,1906
nm9423449,Maurice Barrier,
nm9423450,George Barris,
nm9423451,Gene Barry,1921
nm9423452,Joan Barry,1903
nm9423453,Diana Barrymore,1921
nm9423454,Drew Barrymore,1976
nm9423455,Ethel Barrymore,1879
nm9423456,John Barrymore,1882
nm9423457,John Barrymore~jr.,1932
nm9423458,John Barrymore~III,
nm9423459,Lionel Barrymore,1878
nm9423460,Maurice Barrymore,
nm9423461,Paul Bartels,1940
nm9423462,Eddie Barth,
nm9423463,Richard Barthelmess,1895
nm9423464,Freddie Bartholomew,1924
nm9423465,Eve Bartok,1926
nm9423466,James Barton,1890
nm9423467,Richard Basehart,1915
nm9423468,Tony Basil,
nm9423469,Kim Basinger,1953
nm9423470,Count Basie,
nm9423471,Richard Baskin,
nm9423472,Alfie Bass,
nm9423473,Lina Basquette,1907
nm9423474,Albert Basserman,1867
nm9423475,Angela Bassett,1958
nm9423476,Steve Bassett,
nm9423477,Alexandra Bastedo,1946
nm9423478,Alan Bates,1934
nm9423479,Barbara Bates,
nm9423480,Florence Bates,1888
nm9423481,Kathy Bates,1958
nm9423482,Michael Bates,1920
nm9423483,Belinda Bauer,
nm9423484,Steven Bauer,
nm9423485,Harry Baur,1880
nm9423486,Barbara Baxley,
nm9423487,Alan Baxter,1908
nm9423488,Anne Baxter,1923
nm9423489,Jane Baxter,1909
nm9423490,Warner Baxter,1889
nm9423491,Sarah Bay,
nm9423492,Nathalie Baye,
nm9423493,Gary Bayer,
nm9423494,Geoffrey Bayldon,1924
nm9423495,Stephanie Beacham,1949
nm9423496,John Beal,1909
nm9423497,Jennifer Beals,
nm9423498,Emanuelle Beart,1965
nm9423499,The Beatles,n.a.
nm9423500,Ned Beatty,1937
nm9423501,Robert Beatty,1909
nm9423502,Warren Beatty,1937
nm9423503,Louise Beavers,1902
nm9423504,John C. Becher,
nm9423505,Sidney Bechet,1892
nm9423506,Jenny Beck,1974
nm9423507,John Beck,1943
nm9423508,Kimberly Beck,
nm9423509,Michael Beck,1948
nm9423510,Stanley Beck,
nm9423511,Barry Beckerman,
nm9423512,Scotty Beckett,1929
nm9423513,Reginald Beckwith,1908
nm9423514,Don Beddoe,1888
nm9423515,Bonnie Bedelia,1946
nm9423516,Kabir Bedi,1935
nm9423517,Alfonso Bedoya,1904
nm9423518,Molly Bee,
nm9423519,Noah Beery,1884
nm9423520,Noah Beery~jr.,1913
nm9423521,Wallace Beery,1880
nm9423522,Hagan Beggs,
nm9423523,Ed Begley,1901
nm9423524,Ed Begley~jr.,
nm9423525,Harry Belafonte,1927
nm9423526,Charles Belcher,
nm9423527,Barbara BelGeddes, 1927
nm9423528,Ann Bell,
nm9423529,James Bell,1891
nm9423530,Marie Bell,1900
nm9423531,Rex Bell,1905
nm9423532,Tom Bell,1933
nm9423533,Madge Bellamy,1903
nm9423534,Ralph Bellamy,1904
nm9423535,Harry Bellaver,1905
nm9423536,Kathleen Beller,1955
nm9423537,Agostina Belli,
nm9423538,Olga Bellin,
nm9423539,JeanPaul Belmondo,1933
nm9423540,Belmonts,
nm9423541,Lionel Belmore,1867
nm9423542,Richard Beltran,
nm9423543,Robert Beltran,
nm9423544,Jim Belushi,
nm9423545,John Belushi,1949
nm9423546,Richard Belzer,
nm9423547,Pat Benatar,
nm9423548,Brian Benben,
nm9423549,Robert Benchley,1889
nm9423550,William Bendix,1906
nm9423551,Billy Benedict,1906
nm9423552,Dirk Benedict,1945
nm9423553,Paul Benedict,
nm9423554,Richard Benedict,1916
nm9423555,Annette Bening,
nm9423556,Richard Benjamin,1938
nm9423557,Alma Bennett,1889
nm9423558,Barbara Bennett,1902
nm9423559,Belle Bennett,1891
nm9423560,Bruce Bennett,1909
nm9423561,Constance Bennett,1904
nm9423562,Hywel Bennett,1944
nm9423563,Jill Bennett,1944
nm9423564,Joan Bennett,1910
nm9423565,Joe Bennett,
nm9423566,John Bennett,1928
nm9423567,Marjorie Bennett,1894
nm9423568,Richard Bennett,1873
nm9423569,Annette Benning,1958
nm9423570,Jack Benny,1894
nm9423571,Martin Benson,1918
nm9423572,Robby Benson,1956
nm9423573,Michael Bentine,1922
nm9423574,Barbi Benton,
nm9423575,Susanne Benton,
nm9423576,Iris Berben,
nm9423577,Tom Berenger,1950
nm9423578,Marisa Berenson,1946
nm9423579,Judith-Marie Bergan,
nm9423580,Candice Bergen,1946
nm9423581,Polly Bergen,1929
nm9423582,William Bergen,
nm9423583,Helmut Berger,1944
nm9423584,Katya Berger,
nm9423585,Senta Berger,1941
nm9423586,Sidney Berger,1962
nm9423587,William Berger,
nm9423588,Jacques Bergerac,1927
nm9423589,Herbert Berghof,1909
nm9423590,Ingrid Bergman,1915
nm9423591,Harold Bergman,
nm9423592,Henry Bergman,
nm9423593,Sandahl Bergman,
nm9423594,Tracy Bergman,
nm9423595,Elisabeth Bergner,1898
nm9423596,Thommy Bergren,
nm9423597,Steven Berkoff,
nm9423598,Milton Berle,1908
nm9423599,Irving Berlin,1888
nm9423600,Jennie Berlin,
nm9423601,Shelley Berman,1926
nm9423602,Susan Berman,
nm9423603,Jason Bernhard,
nm9423604,Sandra Bernhard,
nm9423605,Herschel Bernardi,1923
nm9423606,Sarah Bernhardt,1844
nm9423607,Elizabeth Berridge,
nm9423608,Phillip Berrigan,
nm9423609,Chuck Berry,
nm9423610,Halle Berry,196x
nm9423611,Jules Berry,1883
nm9423612,Ken Berry,1933
nm9423613,Michael Berryman,
nm9423614,Marina Berti,1928
nm9423615,Bibi Besch,
nm9423616,Joe Besser,1916
nm9423617,Eugenie Besserer,1870
nm9423618,Edna Best,1900
nm9423619,Willie Best,1916
nm9423620,Barbara Bestar,
nm9423621,Jack Beutel,
nm9423622,Turhan Bey,
nm9423623,Richard Beymer,1939
nm9423624,Daniela Bianchi,1942
nm9423625,Charles Bickford,1889
nm9423626,Michael Biehn,
nm9423627,Ramon Bieri,
nm9423628,Theodore Bikel,1924
nm9423629,Tony Bill,1940
nm9423630,Peter Billingsley,
nm9423631,Herman Bing,1889
nm9423632,Geoff Binney,
nm9423633,Edward Binns,
nm9423634,Julliette Binoche,1964
nm9423635,Paul Birch,1900
nm9423636,Brad Bird,
nm9423637,Norman Bird,1920
nm9423638,David Birney,1944
nm9423639,Jennifer Bishop,
nm9423640,Pat Bishop,
nm9423641,Julie Bishop,1914
nm9423642,Whit Bissell,1919
nm9423643,Jacqueline Bisset,1944
nm9423644,Bonnie Bittner,
nm9423645,Bill Bixby,1934
nm9423646,Gunnar Bjornstrand,
nm9423647,Karen Black,1942
nm9423648,Honor Blackman,1926
nm9423649,Joan Blackman,1938
nm9423650,Sidney Blackmer,1895
nm9423651,Ruben Blades,1948
nm9423652,Gerard Blain,1930
nm9423653,Vivian Blaine,1921
nm9423654,Betsy Blair,1923
nm9423655,Janet Blair,1921
nm9423656,Linda Blair,1959
nm9423657,Amanda Blake,1929
nm9423658,Jon Blake,
nm9423659,Mary Blake,1896
nm9423660,Robert Blake,1933
nm9423661,Whitney Blake,
nm9423662,Colin Blakely,1930
nm9423663,Susan Blakely,1950
nm9423664,Ronee Blakley,1946
nm9423665,Michel Blanc,
nm9423666,Pierre Blanchar,1892
nm9423667,Alan Blanchard,
nm9423668,Mari Blanchard,1927
nm9423669,Pierre Blanchard,
nm9423670,Clara Blandick,1880
nm9423671,Sally Blane,1910
nm9423672,Mark Blankfield,
nm9423673,Roger Blay,
nm9423674,Debra Blee,
nm9423675,Brian Blessed,1937
nm9423676,Bernard Blier,1916
nm9423677,Dan Blocker,1928
nm9423678,Michael Blodgett,
nm9423679,Joan Blondell,1909
nm9423680,Claire Bloom,1931
nm9423681,Verna Bloom,
nm9423682,Eric Blore,1887
nm9423683,Monte Blue,1890
nm9423684,Ann Blyth,1928
nm9423685,Betty Blythe,1893
nm9423686,John Blythe,1921
nm9423687,Eleanor Boardman,1898
nm9423688,Hart Bochner,
nm9423689,Lloyd Bochner,1924
nm9423690,Carl Boehm,1928
nm9423691,Paul Boensh~III,
nm9423692,Dirk Bogarde,1921
nm9423693,Humphrey Bogart,1899
nm9423694,Roman Bohnen,1894
nm9423695,Richard Bohringer,
nm9423696,Curt Bois,1900
nm9423697,Mary Boland,1880
nm9423698,Ray Bolger,1904
nm9423699,Tiffany Bolling,
nm9423700,Joseph Bologna,1938
nm9423701,Fortunio Bonanova,1893
nm9423702,Derek Bond,1919
nm9423703,Lillian Bond,1910
nm9423704,Sudie Bond,
nm9423705,Ward Bond,1903
nm9423706,Natalya Bondartchuk,
nm9423707,Sergei Bondartchuk,1920
nm9423708,Beulah Bondi,1889
nm9423709,Peter Bonerz,
nm9423710,Sandrine Bonnaire,1967
nm9423711,Beverly Bonner,
nm9423712,Val\'erie Bonnier,
nm9423713,Sonny Bono,1940
nm9423714,Bonzo,
nm9423715,Pat Boone,1934
nm9423716,Richard Boone,1917
nm9423717,John Boorman,1933
nm9423718,Connie Booth,
nm9423719,David Booth,1930
nm9423720,Shirley Booth,1907
nm9423721,Powers Boothe,
nm9423722,Paola Borboni,
nm9423723,Matt Borel,
nm9423724,Veda Ann Borg,1915
nm9423725,Dirk Borgarde,
nm9423726,Victor Borge,
nm9423727,Nelly Borgeaud,
nm9423728,Ernest Borgnine,1915
nm9423729,Tom Bosley,1927
nm9423730,Barry Bostwick,1946
nm9423731,Benjamin Bottoms,
nm9423732,Joseph Bottoms,1954
nm9423733,Sam Bottoms,1960
nm9423734,Timothy Bottoms,1949
nm9423735,Barbara Bouchet,1943
nm9423736,Daniel Boulanger,
nm9423737,Mathew Boulton,
nm9423738,Carole Bouquet,
nm9423739,Michel Bouquet,1926
nm9423740,Charon Bourke,
nm9423741,Phillip Bourneuf,1912
nm9423742,Julie Bovasso,
nm9423743,Tony Bova,
nm9423744,Clara Bow,1905
nm9423745,Dorris Bowdon,1915
nm9423746,Elizabeth Bowen,
nm9423747,Roger Bowen,
nm9423748,Malick Bowes,
nm9423749,David Bowie,1947
nm9423750,Judy Bowker,1954
nm9423751,Lee Bowman,1910
nm9423752,Bruce Boxleitner,1950
nm9423753,Dorothy Boyd,
nm9423754,Guy Boyd,
nm9423755,Stephen Boyd,1928
nm9423756,William Boyd,1895
nm9423757,William `Stage' Stage,
nm9423758,Charles Boyer,1899
nm9423759,Lara Flynn Boyle,1970
nm9423760,Peter Boyle,1933
nm9423761,The Bowery Boys,n.a.
nm9423762,Reizel Bozyk,1914
nm9423763,Marcel Bozzuffi,1929
nm9423764,Eddie Bracken,1920
nm9423765,Jean Bradin,
nm9423766,Terry Bradshaw,
nm9423767,Alice Brady,1892
nm9423768,Pat Brady,
nm9423769,Rob Brady,
nm9423770,Scott Brady,1924
nm9423771,Sonia Braga,
nm9423772,Dame Lilian Braithwaite,1873
nm9423773,Wilfrid Brambell,1912
nm9423774,Kenneth Branagh,1960
nm9423775,Miriam Brickman,dob
nm9423776,Wilford Brimley,
nm9423777,Kenneth Branagh,
nm9423778,Neville Brand,1921
nm9423779,Klaus Maria Brandauer,1944
nm9423780,Marlon Brando,1924
nm9423781,Henry Brandon,1912
nm9423782,Michael Brandon,
nm9423783,Betsy Brantley,
nm9423784,Claude Brasseur,1936
nm9423785,Pierre Brasseur,1903
nm9423786,Rossano Brazzi,1916
nm9423787,Larry Breeding,
nm9423788,Hanna Brejchova,
nm9423789,El Brendel,1890
nm9423790,Eileen Brennan,1935
nm9423791,Walter Brennan,1894
nm9423792,Eve Brent,1930
nm9423793,Evelyn Brent,1899
nm9423794,George Brent,1904
nm9423795,Timothy Brent,
nm9423796,Edmund Breon,1882
nm9423797,Patricia Breslin,
nm9423798,Felix Bressart,1890
nm9423799,Jeremy Brett,1935
nm9423800,JeanClaude Brialy,
nm9423801,David Brian,1914
nm9423802,Mary Brian,1908
nm9423803,Fanny Brice,1891
nm9423804,Bricktop,
nm9423805,Beau Bridges,1941
nm9423806,Jeff Bridges,1949
nm9423807,Lloyd Bridges,1913
nm9423808,Wilford Brimley,
nm9423809,Carl Brisson,1895
nm9423810,May Britt,1933
nm9423811,Morgan Brittany,1953
nm9423812,Barbara Britton,1920
nm9423813,Pamela Britton,1923
nm9423814,Tony Britton,1925
nm9423815,Herman Brix,1909
nm9423816,Peter Brocco,
nm9423817,Phil Brock,
nm9423818,Gary Brockette,
nm9423819,Helen Broderick,1890
nm9423820,James Broderick,1927
nm9423821,Matthew Broderick,1951
nm9423822,Steve Brodie,1919
nm9423823,Estelle Brody,1905
nm9423824,James Brolin,1940
nm9423825,J.~Edward Bromberg,1903
nm9423826,John Bromfield,1922
nm9423827,Eleanor Bron,1934
nm9423828,Charles Bronson,1922
nm9423829,Clive Brook,1887
nm9423830,Faith Brook,1922
nm9423831,Hillary Brooke,1914
nm9423832,Albert Brooks,1947
nm9423833,Elisabeth Brooks,
nm9423834,Geraldine Brooks,1925
nm9423835,Hildy Brooks,
nm9423836,James L. Brooks,
nm9423837,Louise Brooks,
nm9423838,Mel Brooks,1926
nm9423839,Phyllis Brooks,1914
nm9423840,Rand Brooks,1918
nm9423841,Ray Brooks,1939
nm9423842,Edward S. Brophy,1895
nm9423843,Pierce Brosnan,1952
nm9423844,Antonia Brough,
nm9423845,Mary Brough,1863
nm9423846,Blair Brown,1948
nm9423847,Bruce Brown,
nm9423848,Bryan Brown,1947
nm9423849,Eric Brown,
nm9423850,Foxy Brown,
nm9423851,Gary Brown,
nm9423852,Gaye Brown,
nm9423853,George Stanford Brown,1943
nm9423854,Georgia Brown,1933
nm9423855,James Brown,1920
nm9423856,Janet Brown,
nm9423857,Jim Brown,1936
nm9423858,Joe E. Brown,1892
nm9423859,Johnny Mack Brown,1904
nm9423860,Ken Brown,
nm9423861,Lou Brown,
nm9423862,Peter Brown,
nm9423863,Reb Brown,
nm9423864,Roger Aaron Brown,
nm9423865,Tom Brown,1913
nm9423866,Vanessa Brown,1928
nm9423867,Wally Brown,1989
nm9423868,Coral Browne,1913
nm9423869,Kathy Browne,
nm9423870,Roscoe Lee Browne,1925
nm9423871,David Bruce,1914
nm9423872,Lenny Bruce,
nm9423873,Nigel Bruce,1895
nm9423874,Virginia Bruce,1910
nm9423875,Nadja Brunkhorst,
nm9423876,Phil Bruns,
nm9423877,Dora Bryan,1923
nm9423878,Jane Bryan,1918
nm9423879,Michael Bryant,1928
nm9423880,Nana Bryant,1888
nm9423881,Pamela Bryant,
nm9423882,Yul Brynner,1915
nm9423883,John Buchan,
nm9423884,Jack Buchanan,1891
nm9423885,Horst Buchholz,1933
nm9423886,Betty Buckley,
nm9423887,John Buckwalter,
nm9423888,Genevieve Bujold,1942
nm9423889,Raymond Buktencia,
nm9423890,Peter Bull,1912
nm9423891,Jeremy Bulloch,
nm9423892,Sandra Bullock,1967
nm9423893,Avis Bunnage,
nm9423894,Victor Buono,1938
nm9423895,Robert Bur,
nm9423896,Valerie Burdinelli,1960
nm9423897,Eric Burdon,
nm9423898,Scott Burgess,
nm9423899,Gary Burghoff,
nm9423900,Billie Burke,1885
nm9423901,James Burke,1886
nm9423902,Paul Burke,1926
nm9423903,Dennis Burkley,
nm9423904,Tom Burlinson,
nm9423905,Carol Burnett,1933
nm9423906,Smiley Burnette,
nm9423907,Bob Burns,1893
nm9423908,Catherine Burns,1945
nm9423909,George Burns,1896
nm9423910,Marilyn Burns,
nm9423911,Mark Burns,1936
nm9423912,Stephan W. Burns,
nm9423913,Tim Burns,
nm9423914,Raymond Burr,1917
nm9423915,Terri Burrell,
nm9423916,Jackie Burroughs,
nm9423917,Bill Burrows,
nm9423918,Ellen Burstyn,1932
nm9423919,Jeff Burton,
nm9423920,Kate Burton,1958
